episode_number,radio_date,title
1,1995-11-17,New Beginnings
2,1995-11-24,Small Scale Sin
3,1995-12-01,Poultry Slam 1995
4,1995-12-08,Vacations
5,1995-12-15,Anger and Forgiveness
6,1995-12-22,Christmas
7,1995-12-29,Quitting
8,1996-01-03,New Year
9,1996-01-10,Julia Sweeney
10,1996-01-17,Double Lives
11,1996-01-24,Enemies
12,1996-01-31,Animals
13,1996-02-07,Love
14,1996-02-21,Accidental Documentaries
15,1996-02-28,Dawn
16,1996-03-14,Economy
17,1996-03-21,Name Change / No Theme
18,1996-03-28,Liars
19,1996-04-12,Rich Guys
20,1996-04-19,From A Distance
21,1996-04-26,Factions
22,1996-05-03,Adult Children
23,1996-05-10,Drama Bug
24,1996-05-24,Teenaged Girls
25,1996-06-07,Basketball
26,1996-06-14,Father's Day '96
27,1996-06-21,The Cruelty of Children
28,1996-07-12,Detectives
29,1996-07-19,Bob Dole
30,1996-07-26,Obsession
31,1996-08-09,When You Talk About Music
32,1996-08-16,Republican Convention
33,1996-08-23,A Night at the Wiener Circle
34,1996-08-30,Democratic Convention
35,1996-09-06,Fall Clearance Sale
36,1996-09-20,Letters
37,1996-09-27,The Job That Takes Over Your Life
38,1996-10-11,Simulated Worlds
39,1996-10-25,Halloween
40,1996-11-01,Lessons
41,1996-11-08,Politics
42,1996-11-15,Get Over It!
43,1996-11-22,Faustian Bargains
44,1996-11-29,Poultry Slam 1996
45,1996-12-06,Media Fringe
46,1996-12-13,Sissies
47,1996-12-20,Christmas and Commerce
48,1997-01-03,Justice
49,1997-01-10,Animals
50,1997-01-17,Shoulda Been Dead
51,1997-01-24,"Animals Die, People Ponder"
52,1997-01-31,Edge of Sanity
53,1997-02-07,Valentine’s Day ‘97
54,1997-02-21,Sinatra
55,1997-02-28,Three Women and the Sex Industry
56,1997-03-07,Name Change
57,1997-03-14,Delivery
58,1997-04-04,Small Towns
59,1997-04-11,Fire
60,1997-04-18,Business of Death
61,1997-04-25,Fiasco!
62,1997-05-02,Something for Nothing
63,1997-05-09,One Thing
64,1997-05-23,Summer
65,1997-05-30,Who's Canadian?
66,1997-06-06,Tales from the Net
67,1997-06-27,"Your Dream, My Nightmare"
68,1997-07-04,Lincoln's Second Inaugural
69,1997-07-18,Dream House
70,1997-07-25,Other People's Mail
71,1997-08-01,Defying Sickness
72,1997-08-08,Trek
73,1997-08-22,Blame It on Art
74,1997-08-29,Conventions
75,1997-09-12,Kindness of Strangers
76,1997-09-19,Mob
77,1997-09-26,Pray
78,1997-10-03,How Bad Is Bad?
79,1997-10-10,Stuck in the Wrong Decade
80,1997-10-17,Running After Antelope
81,1997-10-24,Guns
82,1997-10-31,Haunted
83,1997-11-14,One of Us
84,1997-11-21,Harold
85,1997-12-05,Poultry Slam 1997
86,1997-12-12,How to Take Money from Strangers
87,1997-12-19,A Very Special Sedaris Christmas
88,1998-01-02,Numbers
89,1998-01-09,Sibling Rivalry
90,1998-01-16,Telephone
91,1998-01-30,Escape the Box
92,1998-02-06,Leave the Mask On
93,1998-02-13,Valentine’s Day ’98 
94,1998-02-27,How To
95,1998-03-06,Monogamy
96,1998-03-13,Pinned by History
97,1998-03-20,Death to Wacky
98,1998-03-27,Throwing the First Punch
99,1998-04-10,"I Enjoy Being A Girl, Sort Of"
100,1998-04-24,Radio
101,1998-05-01,Niagara
102,1998-05-22,Road Trip!
103,1998-05-29,Scenes from A Transplant
104,1998-06-05,Music Lessons
105,1998-06-12,Take A Negro Home
106,1998-06-19,Father’s Day ‘98
107,1998-07-03,Trail of Tears
108,1998-08-07,Truth and Lies at Age Ten
109,1998-08-28,Notes on Camp
110,1998-09-04,Mapping
111,1998-09-11,Adventures in the Simple Life
112,1998-10-02,Ladies and Germs
113,1998-10-16,Windfall
114,1998-10-23,Last Words
115,1998-11-13,First Day
116,1998-11-27,Poultry Slam 1998
117,1998-12-11,You Gonna Eat That?
118,1998-12-18,What You Lookin’ At?
119,1999-01-08,Lockup
120,1999-01-22,Be Careful Who You Pretend to Be
121,1999-01-29,Twentieth Century Man
122,1999-02-12,Valentine’s Day ’99
123,1999-02-26,High Cost of Living
124,1999-03-19,Welcome to America
125,1999-04-02,Apocalypse
126,1999-04-09,Do-Gooders
127,1999-04-16,Pimp Anthropology
128,1999-04-30,Four Corners
129,1999-05-14,Advice
130,1999-05-21,Away From Home
131,1999-06-04,The Kids Are Alright
132,1999-06-18,Father’s Day ‘99
133,1999-06-25,Sales
134,1999-07-09,We Didn’t
135,1999-07-23,Allure of Crime
136,1999-08-06,You Are Here
137,1999-08-20,The Book That Changed Your Life
138,1999-08-27,The Real Thing
139,1999-09-03,Ghosts of Elections Past
140,1999-09-24,Family Business
141,1999-10-01,Invisible Worlds
142,1999-10-15,Barbara
143,1999-10-22,Sentencing
144,1999-11-05,Where Words Fail
145,1999-11-26,Poultry Slam 1999
146,1999-12-10,Urban Nature
147,1999-12-17,A Teenager's Guide to God
148,1999-12-24,The Angels Wanna Wear My Red Suit
149,2000-01-14,Bedside Diplomacy
150,2000-01-21,Kids As Adults
151,2000-01-28,Primary
152,2000-02-11,Crush
153,2000-03-03,Dolls
